"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
10/4/17 8:46 PM,"Huawei Arabia",2.292620509E9,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","#WhoIsHuawei Did you know that Huawei has shipped ….. Million phones to the region. Fill in the blank to stand a ch… https://t.co/MXAI6BiwHY",,,80.0,9.155739654347817E17
10/4/17 12:17 PM,"People's Daily,China",3.03862998E8,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","China's Huawei, ZTE to develop high-speed Internet in Algeria https://t.co/Cv7OBk0oQI https://t.co/4HNAjYPoGL",,,42.0,9.1544580538064896E17
10/4/17 7:21 PM,"Huawei Mobile",1.67324989E8,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","Ready for that close-up? The Huawei P10 puts a photography studio in your pocket.
https://t.co/7qUwZRxIrC https://t.co/exSBMypsyi",,,25.0,9.1555238842094797E17
10/5/17 4:14 PM,"TelkomKenya_Care",3.61719245E8,"LaObservador",2.201692112E9,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","@LaObservador 1/1 Hello, congratulations to the amount of ziada points accumulated. You can redeem HUAWEI Y3 LITE for 149,975 ziada points",,,0.0,9.1586787263471616E17
10/5/17 4:13 PM,"R&all",6.8397031E7,"invisiblea",5216471.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","@invisiblea Will it be your daily driver? If so let me know how it goes, trying to decide this or Huawei P10 lite",,,0.0,9.1586756097701888E17
10/5/17 4:13 PM,"Saad Ahmed Fahed",2.432139618E9,,-1.0,"en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @Huawei_ME: We are launching a WhitePaper w/ @Deloitte on #DigitalTransformation during #HID17, 08-OCT. REGISTER HERE to attend.
https:/…",,,1.0,9.1586754140225946E17
10/5/17 4:13 PM,"ruichi_g",7.4536755852244992E17,,-1.0,"en","<a href='https://gleam.io' rel='nofollow'>Gleam Competition App</a>","Android Police and Huawei are giving away a Mate 9! https://t.co/awMI262NKq",,,0.0,9.158674207906816E17
10/5/17 4:12 PM,"Hong-Eng Koh (???)",5.72366128E8,,-1.0,"en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @HuaweiEnt: Read Huawei KOL @adamsconsulting’s article explaining how #Huawei assists F500 companies' digital transformation: https://t.…",,,2.0,9.1586729824145408E17
10/5/17 4:12 PM,"Huawei Europe",7.2025745322126131E17,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>","RT @HuaweiNetworks: Huawei’s President of IoT Solutions discussed how Huawei’s EC-IoT solution drives digital transformation #IoTSWC17: htt…",,,1.0,9.158672545118208E17
10/5/17 4:11 PM,"Gizmo Times",3.293377159E9,,-1.0,"en","<a href='http://www.google.com/' rel='nofollow'>Google</a>","Video: Honor 9i Unboxing, Hands on, Camera Features (Huawei Honor 9i) https://t.co/FUS4nH7IY8",,,0.0,9.1586694110082253E17
10/5/17 4:11 PM,"nilly",8.1439062825150054E17,,-1.0,"en","<a href='https://www.facebook.com' rel='nofollow'>nilly</a>","RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.1586693488898048E17
10/5/17 4:10 PM,"calidonpilling",8.9233265616324608E17,,-1.0,"en","<a href='http://publishersite.xyz/' rel='nofollow'>Hager Application</a>","RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.1586685476511744E17
10/5/17 4:10 PM,"almaben",8.140678171967447E17,,-1.0,"en","<a href='http://campainposts.info/' rel='nofollow'>Esraa Feed Application2</a>","RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.1586679740801024E17
10/5/17 4:10 PM,"anas mahamed",8.1555330815697306E17,,-1.0,"en","<a href='http://twitter.com' rel='nofollow'>anas mahamed</a>","RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.1586678997580186E17
10/5/17 4:10 PM,"peeker scitech",8.2524543579942912E17,,-1.0,"en","<a href='http://peekerscitech.com/' rel='nofollow'>peeker_scitech</a>","Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.1586674405645107E17
