,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id,sentiment
0,10/4/17 8:46 PM,Huawei Arabia,2292620509.0,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,#WhoIsHuawei Did you know that Huawei has shipped �.. Million phones to the region. Fill in the blank to stand a ch� https://t.co/MXAI6BiwHY,,,80.0,9.155739654347816e+17,0
1,10/4/17 12:17 PM,"People's Daily,China",303862998.0,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,"China's Huawei, ZTE to develop high-speed Internet in Algeria https://t.co/Cv7OBk0oQI https://t.co/4HNAjYPoGL",,,42.0,9.154458053806488e+17,0
2,10/4/17 7:21 PM,Huawei Mobile,167324989.0,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,"Ready for that close-up? The Huawei P10 puts a photography studio in your pocket.
https://t.co/7qUwZRxIrC https://t.co/exSBMypsyi",,,25.0,9.15552388420948e+17,4
3,10/5/17 4:14 PM,TelkomKenya_Care,361719245.0,LaObservador,2201692112.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,"@LaObservador 1/1 Hello, congratulations to the amount of ziada points accumulated. You can redeem HUAWEI Y3 LITE for 149,975 ziada points",,,0.0,9.15867872634716e+17,4
4,10/5/17 4:13 PM,R&all,68397031.0,invisiblea,5216471.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,"@invisiblea Will it be your daily driver? If so let me know how it goes, trying to decide this or Huawei P10 lite",,,0.0,9.158675609770189e+17,4
5,10/5/17 4:13 PM,Saad Ahmed Fahed,2432139618.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @Huawei_ME: We are launching a WhitePaper w/ @Deloitte on #DigitalTransformation during #HID17, 08-OCT. REGISTER HERE to attend.
https:/�",,,1.0,9.158675414022593e+17,4
6,10/5/17 4:13 PM,ruichi_g,7.453675585224499e+17,,-1.0,en,<a href='https://gleam.io' rel='nofollow'>Gleam Competition App</a>,Android Police and Huawei are giving away a Mate 9! https://t.co/awMI262NKq,,,0.0,9.158674207906816e+17,0
7,10/5/17 4:12 PM,Hong-Eng Koh (???),572366128.0,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,RT @HuaweiEnt: Read Huawei KOL @adamsconsulting�s article explaining how #Huawei assists F500 companies' digital transformation: https://t.�,,,2.0,9.158672982414541e+17,4
8,10/5/17 4:12 PM,Huawei Europe,7.202574532212613e+17,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>,RT @HuaweiNetworks: Huawei�s President of IoT Solutions discussed how Huawei�s EC-IoT solution drives digital transformation #IoTSWC17: htt�,,,1.0,9.158672545118208e+17,4
9,10/5/17 4:11 PM,Gizmo Times,3293377159.0,,-1.0,en,<a href='http://www.google.com/' rel='nofollow'>Google</a>,"Video: Honor 9i Unboxing, Hands on, Camera Features (Huawei Honor 9i) https://t.co/FUS4nH7IY8",,,0.0,9.158669411008224e+17,4
10,10/5/17 4:11 PM,nilly,8.143906282515005e+17,,-1.0,en,<a href='https://www.facebook.com' rel='nofollow'>nilly</a>,"RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.158669348889805e+17,4
11,10/5/17 4:10 PM,calidonpilling,8.923326561632461e+17,,-1.0,en,<a href='http://publishersite.xyz/' rel='nofollow'>Hager Application</a>,"RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.158668547651174e+17,4
12,10/5/17 4:10 PM,almaben,8.140678171967447e+17,,-1.0,en,<a href='http://campainposts.info/' rel='nofollow'>Esraa Feed Application2</a>,"RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.158667974080102e+17,4
13,10/5/17 4:10 PM,anas mahamed,8.155533081569729e+17,,-1.0,en,<a href='http://twitter.com' rel='nofollow'>anas mahamed</a>,"RT @peeker_scitech: Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.158667899758017e+17,4
14,10/5/17 4:10 PM,peeker scitech,8.252454357994291e+17,,-1.0,en,<a href='http://peekerscitech.com/' rel='nofollow'>peeker_scitech</a>,"Archie Bradley
https://t.co/qL5oLXeRUF",,,9.0,9.158667440564511e+17,4
15,10/5/17 4:10 PM,Hong-Eng Koh (???),572366128.0,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,#Cyber security to protect. Cyber intelligence to detect: #DayZero to insider threats. #NBAD #BigData #SocialEngineering #InfoSec #Huawei,,,0.0,9.158666893670318e+17,0
16,10/5/17 4:09 PM,SRS Root,1208680164.0,,-1.0,en,<a href='http://www.SRSRoot.com' rel='nofollow'>srsroot-tweet</a>,#SRSRoot: HUAWEI Che1-L04 (Build: Che1-L04C675B520) #Android  6.0.1 Now Supported for #Root at https://t.co/Kq7tuB1Gf0,,,0.0,9.158666468201144e+17,0
